"freq,spscheme,spdep,spdepm,unit,geo\TIME_PERIOD",2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
"A,TOTAL,CASH,MT,PC_GDP,AT",0.09 ,0.1 ,0.1 ,0.09 ,0.09 ,0.09 ,0.09 ,0.08 ,0.09 ,0.09 ,0.08 ,0.08 
"A,TOTAL,CASH,MT,PC_GDP,BA",: ,0 ,0 ,0.02 ,0.01 ,0.02 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 
"A,TOTAL,CASH,MT,PC_GDP,BE",0.35 ,0.35 ,0.35 ,0.33 ,0.34 ,0.34 ,0.37 ,0.38 ,0.41 ,0.4 ,0.43 ,0.45 
"A,TOTAL,CASH,MT,PC_GDP,BG",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
"A,TOTAL,CASH,MT,PC_GDP,CH",0.1 ,0.1 ,0.1 ,0.11 ,0.11 ,0.11 ,0.11 ,0.12 ,0.12 ,0.12 ,0.12 p,0.12 p
"A,TOTAL,CASH,MT,PC_GDP,CY",0 ,0 ,0 ,0 ,0.1 ,0.15 ,0.18 ,0.18 ,0.18 ,0.16 ,0.16 ,0.15 
"A,TOTAL,CASH,MT,PC_GDP,CZ",: ,: ,: ,: ,: ,: ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 
"A,TOTAL,CASH,MT,PC_GDP,DE",0.47 ,0.47 ,0.48 ,0.48 ,0.49 ,0.49 ,0.5 ,0.51 ,0.6 ,0.58 ,0.56 ,0.57 p
"A,TOTAL,CASH,MT,PC_GDP,DK",2.58 ,2.6 ,2.57 ,2.52 ,2.46 ,2.41 ,2.42 ,2.5 ,2.67 ,2.63 ,2.52 ,2.82 p
"A,TOTAL,CASH,MT,PC_GDP,EA19",0.31 ,0.32 ,0.32 ,0.32 ,0.33 ,0.32 ,0.33 ,0.34 ,0.39 p,0.38 p,0.36 p,0.37 p
"A,TOTAL,CASH,MT,PC_GDP,EA20",0.31 ,0.32 ,0.32 ,0.32 ,0.33 ,0.32 ,0.33 ,0.34 ,0.39 p,0.38 p,0.36 p,0.37 p
