"freq,spdepm,spscheme,spdepb,sex,unit,geo\TIME_PERIOD",2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
"A,TOTAL,TOTAL,DIS,T,PER,AL",: ,: ,: ,: ,: ,: ,70175 ,70501 ,69648 ,68179 ,67167 ,66592 
"A,TOTAL,TOTAL,DIS,T,PER,AT",280682 ,276223 ,258941 ,240205 ,233957 ,227350 ,219777 ,212534 ,204837 ,192817 ,182003 ,174235 
"A,TOTAL,TOTAL,DIS,T,PER,BA",: ,82877 ,78724 ,70134 ,70032 ,65240 ,59377 ,54088 ,50734 ,59915 ,56444 ,53883 
"A,TOTAL,TOTAL,DIS,T,PER,BE",687140 ,709392 ,732378 ,761370 ,791485 ,807358 ,828982 ,863023 ,892386 ,920964 ,942181 ,981066 
"A,TOTAL,TOTAL,DIS,T,PER,BG",274925 ,281392 ,281061 ,279049 ,278027 ,275966 ,273117 ,260706 ,253950 ,248962 ,247874 ,255352 
"A,TOTAL,TOTAL,DIS,T,PER,CH",336781 e,332376 e,324104 e,312814 e,308300 e,303252 e,298786 e,295506 e,292308 e,292409 e,289462 e,291737 e
"A,TOTAL,TOTAL,DIS,T,PER,CY",2111 ,2069 ,2669 ,3148 ,7177 ,10349 ,10835 ,11083 ,10920 ,11216 ,12135 ,12224 
"A,TOTAL,TOTAL,DIS,T,PER,CZ",401189 ,396497 ,390994 ,391988 ,395370 ,392974 ,388697 ,384143 ,380284 ,377088 ,385699 ,391759 
"A,TOTAL,TOTAL,DIS,T,PER,DE",705775 e,692769 e,703249 e,685068 e,676065 e,650440 e,640889 e,622452 e,597394 e,590461 e,575241 e,559798 e
"A,TOTAL,TOTAL,DIS,T,PER,DK",70390 e,69753 e,68340 e,66354 e,64682 e,63185 e,62433 e,61691 e,64627 e,66314 e,69540 ,70883 
"A,TOTAL,TOTAL,DIS,T,PER,EA20",9275631 p,9223351 e,9248668 e,9258661 e,9291177 e,9335974 e,9284758 e,10597894 e,10618845 e,10576756 p,10230968 p,10634685 p
"A,TOTAL,TOTAL,DIS,T,PER,EA21",9550556 p,9504743 e,9529729 e,9537710 e,9569204 e,9611940 e,9557875 e,10858600 e,10872795 e,10825718 p,10478842 p,10890037 p
