freq,lev_limit,unit,geo\TIME_PERIOD	2021 
A,LTD_NSEV_NONE,PC,AT	35.6 
A,LTD_NSEV_NONE,PC,BE	27.7 
A,LTD_NSEV_NONE,PC,BG	9.9 
A,LTD_NSEV_NONE,PC,CY	35.7 
A,LTD_NSEV_NONE,PC,CZ	19.0 
A,LTD_NSEV_NONE,PC,DE	24.8 
A,LTD_NSEV_NONE,PC,DK	47.1 
A,LTD_NSEV_NONE,PC,EE	32.2 
A,LTD_NSEV_NONE,PC,EL	36.2 
A,LTD_NSEV_NONE,PC,ES	27.6 
A,LTD_NSEV_NONE,PC,EU_V	29.9 e
A,LTD_NSEV_NONE,PC,FI	55.9 
A,LTD_NSEV_NONE,PC,FR	34.3 
A,LTD_NSEV_NONE,PC,HR	25.6 
A,LTD_NSEV_NONE,PC,HU	49.3 
A,LTD_NSEV_NONE,PC,IE	40.3 
A,LTD_NSEV_NONE,PC,LT	25.5 
A,LTD_NSEV_NONE,PC,LU	44.8 
A,LTD_NSEV_NONE,PC,LV	24.5 
A,LTD_NSEV_NONE,PC,ME	11.9 
A,LTD_NSEV_NONE,PC,MT	23.9 
A,LTD_NSEV_NONE,PC,NL	41.8 
A,LTD_NSEV_NONE,PC,PL	16.6 
A,LTD_NSEV_NONE,PC,PT	19.5 
A,LTD_NSEV_NONE,PC,RO	41.3 
A,LTD_NSEV_NONE,PC,RS	17.1 
A,LTD_NSEV_NONE,PC,SE	51.6 
A,LTD_NSEV_NONE,PC,SI	22.6 
A,LTD_NSEV_NONE,PC,SK	36.3 
A,LTD_NSEV_NONE,PC,XK	10.3 
A,NONE,PC,AT	34.1 
A,NONE,PC,BE	24.0 
A,NONE,PC,BG	9.5 
A,NONE,PC,CY	35.5 
A,NONE,PC,CZ	19.1 
A,NONE,PC,DE	22.7 
A,NONE,PC,DK	43.5 
A,NONE,PC,EE	30.2 
A,NONE,PC,EL	35.0 
A,NONE,PC,ES	26.2 
A,NONE,PC,EU_V	28.1 e
A,NONE,PC,FI	52.1 
A,NONE,PC,FR	33.2 
A,NONE,PC,HR	28.4 
A,NONE,PC,HU	48.8 
A,NONE,PC,IE	38.2 
A,NONE,PC,LT	24.3 
A,NONE,PC,LU	42.5 
A,NONE,PC,LV	23.2 
A,NONE,PC,ME	11.8 
A,NONE,PC,MT	23.0 
A,NONE,PC,NL	39.8 
A,NONE,PC,PL	15.8 
A,NONE,PC,PT	17.4 
A,NONE,PC,RO	39.0 
A,NONE,PC,RS	16.3 
A,NONE,PC,SE	48.7 
A,NONE,PC,SI	21.6 
A,NONE,PC,SK	32.2 
A,NONE,PC,XK	9.0 
A,SEV,PC,AT	40.2 
A,SEV,PC,BE	47.1 
A,SEV,PC,BG	48.4 
A,SEV,PC,CY	47.6 u
A,SEV,PC,CZ	32.1 u
A,SEV,PC,DE	53.2 u
A,SEV,PC,DK	69.9 
A,SEV,PC,EE	45.1 
A,SEV,PC,EL	45.1 
A,SEV,PC,ES	49.8 
A,SEV,PC,EU_V	46.1 e
A,SEV,PC,FI	80.4 
A,SEV,PC,FR	41.8 
A,SEV,PC,HR	18.6 u
A,SEV,PC,HU	: u
A,SEV,PC,IE	: u
A,SEV,PC,LT	34.4 u
A,SEV,PC,LU	62.4 u
A,SEV,PC,LV	39.9 
A,SEV,PC,ME	: u
A,SEV,PC,MT	45.1 u
A,SEV,PC,NL	56.8 
A,SEV,PC,PL	23.0 u
A,SEV,PC,PT	28.0 
A,SEV,PC,RO	52.0 u
A,SEV,PC,RS	26.2 u
A,SEV,PC,SE	69.4 
A,SEV,PC,SI	: u
A,SEV,PC,SK	56.6 
A,SEV,PC,XK	: u
A,SM_SEV,PC,AT	41.9 
A,SM_SEV,PC,BE	45.9 
A,SM_SEV,PC,BG	23.8 
A,SM_SEV,PC,CY	41.7 
A,SM_SEV,PC,CZ	22.2 
A,SM_SEV,PC,DE	39.7 
A,SM_SEV,PC,DK	59.3 
A,SM_SEV,PC,EE	41.4 
A,SM_SEV,PC,EL	44.9 
A,SM_SEV,PC,ES	39.7 
A,SM_SEV,PC,EU_V	41.3 e
A,SM_SEV,PC,FI	67.7 
A,SM_SEV,PC,FR	40.1 
A,SM_SEV,PC,HR	14.8 
A,SM_SEV,PC,HU	50.7 
A,SM_SEV,PC,IE	54.0 
A,SM_SEV,PC,LT	34.6 
A,SM_SEV,PC,LU	58.3 
A,SM_SEV,PC,LV	32.9 
A,SM_SEV,PC,ME	11.1 u
A,SM_SEV,PC,MT	33.5 
A,SM_SEV,PC,NL	49.2 
A,SM_SEV,PC,PL	23.6 
A,SM_SEV,PC,PT	25.7 
A,SM_SEV,PC,RO	54.0 
A,SM_SEV,PC,RS	26.0 
A,SM_SEV,PC,SE	63.0 
A,SM_SEV,PC,SI	28.8 u
A,SM_SEV,PC,SK	50.2 
A,SM_SEV,PC,XK	24.3 
A,SOME,PC,AT	42.2 
A,SOME,PC,BE	45.3 
A,SOME,PC,BG	14.3 
A,SOME,PC,CY	38.3 
A,SOME,PC,CZ	18.3 
A,SOME,PC,DE	37.0 
A,SOME,PC,DK	58.0 
A,SOME,PC,EE	39.9 
A,SOME,PC,EL	44.8 
A,SOME,PC,ES	37.5 
A,SOME,PC,EU_V	40.2 e
A,SOME,PC,FI	65.6 
A,SOME,PC,FR	39.5 
A,SOME,PC,HR	13.9 
A,SOME,PC,HU	52.7 
A,SOME,PC,IE	53.2 
A,SOME,PC,LT	34.7 
A,SOME,PC,LU	57.4 
A,SOME,PC,LV	31.3 
A,SOME,PC,ME	12.5 u
A,SOME,PC,MT	31.1 
A,SOME,PC,NL	48.1 
A,SOME,PC,PL	23.8 
A,SOME,PC,PT	25.4 
A,SOME,PC,RO	54.6 
A,SOME,PC,RS	25.9 
A,SOME,PC,SE	61.7 
A,SOME,PC,SI	31.3 u
A,SOME,PC,SK	48.2 
A,SOME,PC,XK	27.8 u
A,TOTAL,PC,AT	35.7 
A,TOTAL,PC,BE	29.1 
A,TOTAL,PC,BG	11.9 
A,TOTAL,PC,CY	36.1 
A,TOTAL,PC,CZ	19.7 
A,TOTAL,PC,DE	25.6 
A,TOTAL,PC,DK	47.5 
A,TOTAL,PC,EE	33.1 
A,TOTAL,PC,EL	36.5 
A,TOTAL,PC,ES	28.2 
A,TOTAL,PC,EU_V	30.5 e
A,TOTAL,PC,FI	57.1 
A,TOTAL,PC,FR	34.5 
A,TOTAL,PC,HR	25.3 
A,TOTAL,PC,HU	49.1 
A,TOTAL,PC,IE	40.7 
A,TOTAL,PC,LT	25.2 
A,TOTAL,PC,LU	45.4 
A,TOTAL,PC,LV	25.1 
A,TOTAL,PC,ME	11.7 
A,TOTAL,PC,MT	24.4 
A,TOTAL,PC,NL	41.2 
A,TOTAL,PC,PL	16.7 
A,TOTAL,PC,PT	19.7 
A,TOTAL,PC,RO	42.2 
A,TOTAL,PC,RS	17.5 
A,TOTAL,PC,SE	52.5 
A,TOTAL,PC,SI	22.5 
A,TOTAL,PC,SK	37.9 
A,TOTAL,PC,XK	10.3 
